timestamp,customer_id,terminal_id,amount,fraud
2026-01-01 09:00,C001,T01,25,0
2026-01-01 09:05,C002,T01,30,0
2026-01-01 09:10,C003,T02,45,0
2026-01-01 09:20,C001,T01,50,0
2026-01-01 09:30,C004,T03,60,0
2026-01-01 09:40,C005,T02,80,0
2026-01-01 09:50,C002,T01,90,0
2026-01-01 10:00,C003,T02,120,0
2026-01-01 10:10,C004,T03,140,0
2026-01-01 10:20,C005,T02,180,1
2026-01-01 10:30,C001,T01,35,0
2026-01-01 10:40,C002,T01,55,0
2026-01-01 10:50,C003,T02,75,0
2026-01-01 11:00,C004,T03,95,0
2026-01-01 11:10,C005,T02,210,1
2026-01-01 11:20,C001,T01,40,0
2026-01-01 11:30,C002,T01,65,0
2026-01-01 11:40,C003,T02,85,0
2026-01-01 11:50,C004,T03,105,0
2026-01-01 12:00,C005,T02,240,1
